id;time;Euler1;Euler2;Euler3;Quat1;Quat2;Quat3;Quat4;Gyro1;Gyro2;Gyro3
1;00.00.53;348,5;-5,875;6,1875;0,992249;0,0485229;0,0567627;0,0994263;0,0766667;0,00888889;-0,166667
2;00.01.53;344,812;-11,0625;7,5625;0,984436;0,0521851;0,104553;0,131165;0,0122222;0,0666667;-0,00777778
3;00.02.53;345,187;-17,6875;10,9375;0,975464;0,0713501;0,165649;0,126404;0,0233333;0,0822222;-0,0744444
4;00.03.53;338,25;-16,75;13,5;0,965027;0,0844116;0,165466;0,184937;0,0366667;-0,0377778;0,0188889
5;00.04.53;336,187;-18,375;13,625;0,95929;0,0787964;0,181091;0,201782;-0,0344444;-0,0222222;-0,107778
6;00.05.53;329,125;-17,4375;16,5;0,943176;0,0928955;0,184753;0,260193;0,0166667;-0,0377778;-0,0633333
7;00.06.53;323,25;-15;15,3125;0,932678;0,0818481;0,16626;0,309448;-0,0344444;-0,0888889;-0,0233333
8;00.07.53;319,5;-15,6875;14,375;0,922363;0,0666504;0,171448;0,339722;0,00777778;0,0177778;-0,0388889
9;00.08.53;314,937;-15,5625;15,4375;0,907104;0,0684814;0,176575;0,375916;0,0566667;0,0355556;0,105556
10;00.09.55;316,5;-18,625;16,375;0,907532;0,0665283;0,20282;0,361755;0,09;-0,0466667;-0,0388889
11;00.10.53;310,187;-19,125;17;0,884827;0,0578613;0,21228;0,410767;-0,0477778;-0,0577778;-0,05
12;00.11.53;307,938;-19;17,25;0,876587;0,0560913;0,213257;0,427734;0,0211111;-0,0333333;-0,00777778
13;00.12.53;310,187;-22,625;17,1875;0,879639;0,0441895;0,239075;0,408752;-0,07;-0,0755555;0,09
14;00.13.53;305,562;-22,5625;17,0625;0,862915;0,0340576;0,23999;0,443481;0,0811111;-0,0222222;-0,0522222
15;00.14.53;300,375;-25,5625;17,4375;0,837341;0,0101929;0,263794;0,47876;-0,0433333;-0,00444444;-0,144444
16;00.15.53;300,437;-23,9375;16,75;0,840576;0,0140381;0,249756;0,480469;-0,0233333;0,0222222;-0,0722222
17;00.16.53;296,812;-23,8125;15,875;0,825928;0,00109863;0,2453;0,507568;-0,00333333;0,00888889;-0,0122222
18;00.17.54;292,375;-23,875;19,8125;0,801941;0,0159302;0,264343;0,535461;-0,07;0,0977778;-0,231111
19;00.18.56;291,562;-23,0625;24;0,793274;0,0465088;0,279053;0,539185;0,0433333;0,1;0,0366667
20;00.19.54;288,812;-23,4375;26,4375;0,776245;0,0528564;0,294189;0,555115;0,0455555;0,0288889;0,0611111
21;00.20.54;291,375;-28,6875;26,0625;0,780396;0,0250854;0,325195;0,533508;0,00777778;0,0666667;0,175556
22;00.21.54;296,062;-32,875;25,625;0,795166;0,0112915;0,348572;0,496094;-0,00111111;0,0288889;0,0366667
23;00.22.54;297,875;-35,125;31,9375;0,788452;0,0401001;0,389099;0,474731;-0,128889;-0,0333333;0,0588889
24;00.23.54;293,562;-31,9375;32,625;0,774841;0,050354;0,37439;0,506836;-0,00111111;-0,0577778;0,0122222
25;00.24.54;292,375;-33,75;34,9375;0,761902;0,0472412;0,396729;0,509827;-0,00111111;0,0466667;0,0477778
26;00.25.57;288,437;-33,25;36,0625;0,742737;0,0432739;0,400269;0,535034;0,0388889;0,02;0,00555556
27;00.26.54;283,625;-33,3125;37,375;0,71698;0,0325317;0,408752;0,563721;0,0211111;0,0111111;-0,114444
28;00.27.54;282,687;-35,5;37,4375;0,708557;0,0129395;0,420349;0,56665;-0,0388889;0,0577778;-0,0855556
29;00.28.54;283,687;-35,875;39,75;0,708069;0,0252075;0,433289;0,557007;-0,126667;-0,0911111;0,157778
30;00.29.54;277,75;-30,625;42,75;0,680298;0,0579224;0,425598;0,593933;0,0411111;0,06;-0,0433333
31;00.30.54;274;-30,1875;50,3125;0,64447;0,081543;0,46637;0,600403;-0,0122222;-0,125556;0,0811111
32;00.31.54;271,875;-32,5625;56,0625;0,616333;0,074646;0,509338;0,595947;0,0233333;-0,0111111;0,0522222
33;00.32.54;270,5;-31,75;58,25;0,604248;0,0841675;0,519165;0,598572;-0,0677778;0,0111111;-0,03
34;00.33.54;272,75;-31,8125;57,5625;0,617432;0,0910645;0,514038;0,588379;-0,0855556;-0,0177778;0,03
35;00.34.54;271,25;-30,9375;58,5;0,608459;0,0958252;0,516663;0,594727;0,0411111;-0,02;0,0188889
36;00.35.54;273,375;-29,6875;55,6875;0,628052;0,106018;0,494019;0,591858;0,00111111;-0,0644444;0,0366667
37;00.36.54;271,937;-31,9375;58,5;0,610718;0,0900269;0,520142;0,590271;-0,00555556;-0,0355556;0,0255556
38;00.37.54;268,25;-29,625;58,5625;0,593628;0,0944824;0,514282;0,611694;0,0855556;0,0644444;-0,0877778
39;00.38.54;264,812;-27,9375;64,1875;0,560974;0,114441;0,543152;0,614197;-0,0655555;0,0622222;-0,0944444
40;00.39.54;262,812;-28,8125;69,25;0,535583;0,11145;0,576538;0,606934;0,0322222;-0,0111111;-0,0922222
41;00.40.54;261,063;-30,9375;68,9375;0,525818;0,0800171;0,582703;0,614441;0,0233333;-0,0533333;-0,0611111
42;00.41.54;253,937;-22,6875;70,375;0,486633;0,132324;0,572632;0,646362;-0,0433333;0,0377778;0,0211111
43;00.42.54;255,875;-23,0625;70;0,498657;0,137329;0,569336;0,639038;-0,0455555;0,0488889;0,03
44;00.43.54;248,062;-13,875;65,125;0,469421;0,1745;0,515747;0,695129;0,0566667;0,181111;-0,0211111
45;00.44.54;243,625;-11,875;66,0625;0,440857;0,177856;0,519836;0,709778;-0,0677778;-0,0288889;0,14
46;00.45.54;246,375;-11,8125;65,5625;0,458679;0,18866;0,512268;0,701111;0,00777778;0,125556;-0,0388889
47;00.46.54;233,375;-6,3125;64,1875;0,380371;0,17981;0,500732;0,75647;-0,128889;-0,0888889;0,118889
48;00.47.54;231,437;-3,1875;64,5625;0,366943;0,201843;0,494751;0,761475;-0,0522222;-0,0666667;0,0255556
49;00.48.54;228,938;-0,4375;65,3125;0,348938;0,219604;0,493103;0,766113;0,0588889;0,0444444;-0,0988889
50;00.49.54;218,937;8,8125;62,6875;0,284119;0,256836;0,455566;0,803589;0,01;0,00666667;0,0388889
51;00.50.54;208,312;16,0625;58,3125;0,212402;0,270325;0,418152;0,84082;-0,05;0,0266667;-0,0166667
52;00.51.54;207,813;12,3125;59,625;0,207825;0,237183;0,443665;0,838867;0,0188889;0,02;-0,133333
53;00.52.54;205,75;13,9375;60,75;0,19104;0,247192;0,449707;0,836792;-0,0122222;-0,00444444;0,0633333
54;00.53.54;201,625;18,375;63;0,159119;0,277771;0,456177;0,830322;0,0633333;-0,06;-0,0144444
55;00.54.54;197,437;19,3125;65,125;0,126709;0,273804;0,476624;0,825745;0,103333;-0,00222222;0,05
56;00.55.54;195,313;14,5625;65,6875;0,111511;0,21991;0,502747;0,828552;0,103333;-0,00222222;-0,0522222
57;00.56.54;189,875;15,9375;65,25;0,0725098;0,208801;0,505432;0,834106;0,0433333;0,0444444;-0,184444
58;00.57.54;189,5;15,3125;61,5;0,0715942;0,195435;0,482117;0,851074;0,0722222;0,06;-0,151111
59;00.58.54;183,187;19,0625;65,4375;0,0238037;0,210754;0,509277;0,834045;-0,00333333;-0,0466667;-0,0544444
60;00.59.54;191,312;11,8125;64,6875;0,0829468;0,173523;0,510986;0,83783;0,0766667;-0,0488889;0,116667
61;01.00.54;193,75;10,75;60,625;0,102966;0,167603;0,481445;0,854126;0,124444;0,0133333;0,0744444
62;01.01.54;185,938;18;56,375;0,0455933;0,2005;0,443604;0,872314;0,103333;0,0688889;0,03
63;01.02.54;184,875;15;54,6875;0,0385132;0,166077;0,440063;0,881653;0,0433333;-0,0177778;-0,14
64;01.03.54;182,875;15,3125;53,875;0,022644;0,160522;0,435974;0,885254;0,00333333;0,00666667;-0,0744444
65;01.04.54;184;11,3125;53,5;0,0310669;0,12616;0,438782;0,88916;0,00111111;0,0311111;0,00777778
66;01.05.54;185,812;9,375;55,5;0,0447388;0,115967;0,455444;0,881531;-0,00555556;-0,04;-0,0766667
67;01.06.54;181,125;12,625;54,3125;0,00909424;0,128479;0,446289;0,885559;-0,00777778;0,0111111;0,0566667
68;01.07.54;173;17,375;54,1875;0,0535278;-0,142761;-0,44812;-0,880859;-0,0477778;0,0133333;0,0433333
69;01.08.54;176,687;18,125;55,6875;0,0252075;-0,164856;-0,453003;-0,875793;-0,0522222;-0,00222222;0,01
70;01.09.54;179,625;18,125;56,1875;0,00244141;-0,176697;-0,452026;-0,874329;-0,0544444;0,0333333;-0,0433333
71;01.10.54;177,937;24,125;56;0,0153198;-0,227966;-0,439392;-0,868774;-0,0344444;0,00222222;0,03
72;01.11.54;170,937;27,8125;53,25;0,0690308;-0,234375;-0,42511;-0,871521;-0,0233333;-0,06;0,0144444
73;01.12.54;169,562;24,8125;50,875;0,0797729;-0,19928;-0,417297;-0,883057;0,0433333;0,00888889;-0,175556
74;01.13.54;165,875;25,4375;53,6875;0,107605;-0,192688;-0,442322;-0,869263;0,0566667;-0,00666667;0,151111
75;01.14.54;164,063;26,5;56,5625;0,119568;-0,196289;-0,464111;-0,855469;0,0877778;0,13;0,0233333
76;01.15.54;164,625;26;59,3125;0,11438;-0,193604;-0,48291;-0,846313;0,00333333;0,113333;-0,0144444
77;01.16.54;160,437;27,25;58,5;0,144897;-0,188782;-0,482178;-0,84314;0,0122222;-0,0711111;-0,0433333
78;01.17.54;162,125;29,0625;65;0,12854;-0,216003;-0,518494;-0,817322;0,0188889;0,0488889;0,0166667
79;01.18.54;162,5;33,3125;63,6875;0,125549;-0,25946;-0,497925;-0,817932;0,00777778;0,0155556;-0,05
80;01.19.54;155,313;38;57,8125;0,179749;-0,273071;-0,464844;-0,822815;-0,0277778;-0,0866666;0,0366667
81;01.20.54;156,375;36,6875;55,9375;0,17395;-0,263733;-0,454041;-0,833069;0,0455555;0,0355556;-0,0277778
82;01.21.54;150,312;40;57;0,215515;-0,271606;-0,466736;-0,813599;-0,0122222;0,0177778;0,0722222
83;01.22.54;236,125;45,25;53,5625;0,245178;-0,305725;-0,444641;-0,80542;-0,0388889;-0,0377778;0,0322222
84;01.23.54;150;43,875;54,375;0,217957;-0,307617;-0,442444;-0,813721;-0,0744444;0;0,0611111
85;01.24.54;234,5;46,1875;54,625;0,255005;-0,307922;-0,452637;-0,797058;-0,00777778;0,0444444;0,0433333
86;01.25.54;232,813;45;51,75;0,270203;-0,290833;-0,443542;-0,803528;-0,07;0,0177778;0,00111111
87;01.26.54;234;46,6875;52,875;0,259277;-0,311462;-0,442993;-0,799683;0,00555556;0;-0,0522222
88;01.27.54;230,687;45,1875;49,875;0,28656;-0,285706;-0,437622;-0,802979;0,03;0,115556;0,0522222
89;01.28.54;222,375;45,4375;42,8125;0,350769;-0,263916;-0,416504;-0,796143;0,101111;0,0333333;-0,101111
90;01.29.54;132,25;44,0625;45,9375;0,350342;-0,246948;-0,435181;-0,791748;-0,0344444;-0,00888889;0,0344444
91;01.30.54;224,375;47;46,9375;0,331482;-0,280945;-0,433838;-0,789307;-0,0233333;0,0155556;-0,05
92;01.31.54;222,187;51,125;44,8125;0,344116;-0,312805;-0,42334;-0,777527;-0,0677778;0,0911111;-0,0988889
93;01.32.54;219,687;56,5625;40,0625;0,359009;-0,359558;-0,400024;-0,762756;-0,0833333;-0,0266667;0,278889
94;01.33.54;216,062;58,8125;42,1875;0,376953;-0,363953;-0,419495;-0,741272;0,0766667;-0,0977778;-0,114444
95;01.34.54;216,562;58,8125;37,5;0,377563;-0,370728;-0,396729;-0,750061;0,0188889;0,0844444;-0,0722222
96;01.35.54;214,687;58,875;39,6875;0,387573;-0,362549;-0,412292;-0,740479;-0,0477778;0,04;-0,0233333
97;01.36.54;208;55,8125;32,125;0,442261;-0,323181;-0,397278;-0,736267;0,0411111;0,00888889;-0,11
98;01.37.54;205,75;58,6875;26,4375;0,455078;-0,350952;-0,380005;-0,724792;0,0522222;0,0755555;0,03
99;01.38.54;204,688;61,8125;25,25;0,455566;-0,375305;-0,382141;-0,710999;-0,107778;-0,0466667;0,0366667
100;01.39.54;201,25;57,1875;25,375;0,486938;-0,326355;-0,385986;-0,712341;-0,0477778;-0,0888889;0,07
101;01.40.54;203,437;56,375;32;0,470215;-0,312256;-0,409729;-0,716614;0,00333333;0;-0,213333
102;01.41.54;202;53,125;32,0625;0,485779;-0,280029;-0,409546;-0,719604;-0,00333333;-0,0577778;0,116667
103;01.42.54;198,562;56,4375;25,875;0,504761;-0,309692;-0,394287;-0,702698;-0,0277778;-0,0711111;0,0811111
104;01.43.54;193,375;54,4375;25,6875;0,540894;-0,276123;-0,402344;-0,685059;-0,0411111;-0,0444444;0,157778
105;01.44.54;191,25;56,9375;26,9375;0,546692;-0,284973;-0,419189;-0,666443;0,0366667;-0,0111111;0,0211111
106;01.45.54;181,937;62,125;19;0,589905;-0,312317;-0,426514;-0,610413;-0,00555556;0,0777778;-0,00777778
107;01.46.54;182,562;63,625;18,4375;0,582031;-0,326721;-0,427795;-0,609497;-0,0411111;-0,0266667;-0,0588889
108;01.47.54;181,25;63,9375;12;0,591125;-0,342224;-0,410339;-0,604248;0,0366667;-0,0266667;-0,0366667
109;01.48.54;177,937;64,75;-5,25;0,607422;-0,389282;-0,36908;-0,585938;-0,0944444;0,02;0,101111
110;01.49.54;175,187;58,75;-15,0625;0,637817;-0,391418;-0,310547;-0,586121;0,0144444;0,0844444;0,0366667
111;01.50.54;172;55,5;-16,25;0,662781;-0,376221;-0,294678;-0,576477;-0,0522222;-0,0222222;-0,0166667
112;01.51.54;172,5;56,4375;-21;0,654236;-0,401489;-0,284668;-0,57428;0,01;-0,04;0,103333
113;01.52.54;169,625;58,9375;-24,625;0,65802;-0,416748;-0,303589;-0,548767;-0,0344444;-0,00444444;0,0322222
114;01.53.54;166,625;55,9375;-20;0,685242;-0,380188;-0,304626;-0,541382;0,0388889;-0,0622222;-0,0255556
115;01.54.54;163;52,4375;-28,9375;0,70343;-0,404541;-0,264465;-0,521179;0,0411111;0;-0,137778
116;01.55.54;162,375;52,8125;-30,375;0,703979;-0,411743;-0,264893;-0,514526;-0,0566667;-0,0155556;0,148889
117;01.56.54;160,625;48,9375;-37,4375;0,711548;-0,436951;-0,220825;-0,504028;0,0411111;-0,0377778;0,0144444
118;01.57.54;70,6875;44,75;-38,4375;0,719116;-0,435486;-0,180908;-0,510376;-0,0255556;0,0377778;-0,0433333
119;01.58.54;166;47,125;-34,9375;0,69519;-0,429871;-0,19165;-0,543274;0,00333333;0,102222;-0,00333333
120;01.59.54;69,75;43,875;-37,875;0,726563;-0,428711;-0,179077;-0,506226;0,0833333;-0,0844444;-0,01
121;02.00.54;68,3125;42,1875;-36,9375;0,738098;-0,41803;-0,171631;-0,501038;-0,00333333;0,0444444;0,0744444
122;02.01.54;67,625;40,375;-41,125;0,736877;-0,43811;-0,146362;-0,493591;-0,00777778;-0,102222;0,0877778
123;02.02.54;67,5625;43,5;-43,125;0,72644;-0,454895;-0,169739;-0,486389;0,05;-0,0422222;-0,0188889
124;02.03.54;67,5625;44,1875;-46,4375;0,718201;-0,474182;-0,167908;-0,480774;-0,0877778;0,0333333;0,0877778
125;02.04.54;59,5;36;-51,75;0,752014;-0,487244;-0,112244;-0,429504;-0,0522222;-0,00222222;0,0988889
126;02.05.54;60,875;36,1875;-47,625;0,757202;-0,463196;-0,117676;-0,445251;-0,142222;-0,0133333;0,0833333
127;02.06.54;58,875;38,0625;-51,3125;0,751953;-0,485352;-0,136353;-0,424744;-0,0877778;-0,02;-0,00333333
128;02.07.54;155,437;34,75;-62;0,748535;-0,541809;-0,117859;-0,363647;0,133333;-0,0288889;0,126667
129;02.08.54;153,812;36,8125;-62,4375;0,73645;-0,546814;-0,12677;-0,377502;-0,00555556;0,0311111;0,0233333
130;02.09.54;55,625;34,75;-55,1875;0,75769;-0,50354;-0,110229;-0,400208;0,0766667;0,0688889;0,00111111
131;02.10.54;52,4375;29,75;-53,0625;0,782471;-0,482544;-0,0797729;-0,385376;0,0388889;0,0422222;0,00777778
132;02.11.54;43,1875;23,375;-48,8125;0,832642;-0,440247;-0,064209;-0,329712;0,0433333;0,0288889;0,00333333
133;02.12.54;46,75;20,875;-43,625;0,840149;-0,400635;-0,0393677;-0,363403;0,03;0,147778;-0,0877778
134;02.13.54;50,125;21,125;-40,25;0,837891;-0,37793;-0,0385132;-0,391907;0,0633333;0,13;-0,131111
135;02.14.54;52,875;22,6875;-41,4375;0,823364;-0,390808;-0,039978;-0,409607;-0,0411111;0,0488889;-0,0744444
136;02.15.54;52,75;21,8125;-42,4375;0,822021;-0,396057;-0,0301514;-0,40802;0,0166667;0;-0,0744444
137;02.16.55;47,125;20,5;-45,9375;0,832764;-0,416809;-0,0287476;-0,363281;0,0388889;0,0533333;0,03
138;02.17.55;175,75;17,3125;-48,375;0,846375;-0,427734;-0,0158081;-0,316833;0,0166667;0,06;-0,0655555
139;02.18.54;43,75;18,125;-48,0625;0,838989;-0,426941;-0,013916;-0,337036;0,0566667;-0,0488889;-0,0566667
140;02.19.55;180;18,0625;-51,875;0,822021;-0,455139;6,10E-05;-0,342163;-0,0633333;-0,04;-0,0255556
141;02.20.55;184,312;14,6875;-53,1875;0,833008;-0,458984;0,0172729;-0,308472;-0,0722222;-0,0333333;0,01
142;02.21.55;187,75;15,4375;-51,875;0,820251;-0,448914;0,0307617;-0,353149;0,0811111;-0,0533333;-0,0655555
143;02.22.55;189,625;15,8125;-51,6875;0,81189;-0,447632;0,0377197;-0,372864;0,03;0,00888889;0,0588889
144;02.23.55;193;13,8125;-47,1875;0,825256;-0,410034;0,046814;-0,38562;-0,0433333;0,0155556;0,0611111
145;02.24.55;53,3125;16,1875;-43,875;0,821777;-0,391785;0,0270996;-0,412842;-0,112222;-0,0644444;0,128889
146;02.25.55;57,875;17,625;-43,875;0,80365;-0,394592;0,02948;-0,444458;-0,0122222;0,0822222;0,0944444
147;02.26.55;55,5625;14,9375;-44,75;0,812073;-0,393616;0,0484619;-0,42804;0,0277778;0,0555556;0,0855556
148;02.27.55;203,375;11,5;-47,5625;0,810791;-0,403381;0,0836792;-0,415894;-0,01;0,0688889;0,213333
149;02.28.55;196,687;13,375;-50,875;0,81134;-0,434753;0,0639648;-0,385498;0,01;0,0333333;-0,0233333
150;02.29.55;203,25;9,0625;-51;0,826904;-0,426208;0,0878296;-0,356201;-0,01;-0,0133333;-0,0122222
151;02.30.55;201;8,375;-54,1875;0,830322;-0,451294;0,0837402;-0,315979;0,0522222;-0,0666667;-0,146667
152;02.31.55;205,125;6,9375;-51,125;0,837769;-0,424438;0,0946655;-0,330261;-0,0588889;0,00444444;-0,01
153;02.32.55;215,25;1,25;-52,125;0,847961;-0,418945;0,133179;-0,296143;0,0433333;-0,0666667;-0,0322222
154;02.33.55;223,062;-0,9375;-48,625;0,854553;-0,383667;0,151184;-0,315735;0,0122222;0,0288889;0,00111111
155;02.34.55;223,688;-1,5;-50,1875;0,851685;-0,39386;0,158386;-0,307373;0,0344444;0,0844444;0,0322222
156;02.35.55;219,812;-1,375;-49,625;0,862671;-0,394897;0,143494;-0,281616;-0,0677778;0,0511111;0,0744444
157;02.36.55;219;-0,1875;-48,4375;0,861145;-0,387024;0,137207;-0,299683;0,0766667;-0,0422222;-0,14
158;02.37.55;231,375;-5,125;-48,5;0,862244;-0,371643;0,178955;-0,293945;0,0566667;0,0311111;-0,124444
159;02.38.55;231;-4,6875;-48,75;0,859314;-0,374329;0,178223;-0,299438;-0,05;-0,115556;0,0655555
160;02.39.55;238;-7,5;-53,625;0,838684;-0,397156;0,220276;-0,300659;0,0544444;0,0111111;-0,182222
161;02.40.55;240,125;-10,375;-55,9375;0,839539;-0,410461;0,237427;-0,265259;-0,03;-0,0555556;-0,00333333
162;02.41.55;234;-8,25;-59,375;0,827332;-0,443726;0,225891;-0,26001;0,0255556;-0,0244444;-0,0677778
163;02.42.55;239,875;-9,3125;-56,3125;0,832397;-0,412537;0,237183;-0,283936;0,0411111;-0,0666667;-0,121111
164;02.43.55;249,312;-14,0625;-60,9375;0,812256;-0,423157;0,292786;-0,274597;0,00777778;0,0244444;-0,0433333
165;02.44.55;256,75;-19,25;-64,75;0,7995;-0,428711;0,339478;-0,248535;-0,103333;-0,108889;0,0877778
166;02.45.55;248,563;-18;-66,25;0,80365;-0,459473;0,313171;-0,211975;-0,00111111;0,0222222;0,114444
167;02.46.55;247,062;-18,625;-69,625;0,791626;-0,48291;0,320251;-0,193848;-0,0411111;0,0511111;-0,0522222
168;02.47.55;254,312;-19,25;-67,75;0,789795;-0,451904;0,342651;-0,233643;-0,0255556;0,0222222;0,146667
169;02.48.55;253,688;-18,875;-68,1875;0,787598;-0,455872;0,341675;-0,234741;0,0344444;0,0177778;-0,107778
170;02.49.55;254,125;-21,6875;-72,8125;0,772888;-0,480347;0,363647;-0,199219;-0,00333333;0,108889;0,0744444
171;02.50.55;244;-17,0625;-74,1875;0,769165;-0,515808;0,322327;-0,196106;-0,00555556;0;0,00111111
172;02.51.55;246,062;-19,75;-80,1875;0,742065;-0,543091;0,353394;-0,171631;0,0522222;-0,00888889;-0,0588889
173;02.52.55;259,187;-25,8125;-78,75;0,745605;-0,494629;0,410034;-0,176758;-0,0566667;0,0288889;0,112222
174;02.53.55;258,312;-33;-77,4375;0,76532;-0,495728;0,403809;-0,0740356;-0,0277778;-0,0111111;-0,0966667
175;02.54.55;255,062;-34,875;-79,9375;0,75531;-0,519043;0,398987;-0,0296021;-0,0744444;-0,0466667;-0,00333333
176;02.55.55;260,375;-36,5;-80,6875;0,750732;-0,503479;0,425415;-0,043457;0,128889;-0,0977778;-0,03
177;02.56.55;265,375;-40,25;-77,4375;0,762939;-0,474792;0,43811;-0,0234985;-0,0677778;-0,04;0,0455555
178;02.57.55;257,187;-38,6875;-81,9375;0,744568;-0,521423;0,416809;0,00549316;-0,0344444;0,00666667;0,14
179;02.58.55;255,562;-37,3125;-77,5;0,76532;-0,508667;0,394348;0,0032959;-0,0144444;-0,06;-0,00555556
180;02.59.55;350,875;-44,25;-77,125;0,75885;-0,493164;0,421143;0,0598755;-0,00111111;0,0422222;-0,0588889
181;03.00.55;256,187;-42,4375;-79,8125;0,748901;-0,519104;0,407043;0,0631714;-0,0544444;-0,0111111;0,0144444
182;03.01.55;253,5;-40;-77,75;0,760498;-0,518555;0,38739;0,0522461;-0,0233333;0,0533333;0,09
183;03.02.55;248,062;-37,75;-75,4375;0,771423;-0,52478;0,354431;0,0628662;0,0411111;0,02;-0,0633333
184;03.03.55;245,75;-41,25;-72,25;0,7724;-0,521423;0,337341;0,133118;0,114444;0,0155556;0,0122222
185;03.04.55;242,188;-46,0625;-72,9375;0,752686;-0,526428;0,348389;0,186951;-0,0366667;-0,0444444;0,116667
186;03.05.55;242,875;-52,5;-66,0625;0,767578;-0,46051;0,406006;0,184021;-0,00555556;0,0511111;-0,166667
187;03.06.55;238,812;-56,125;-66,5;0,75293;-0,457642;0,423706;0,210022;-0,0833333;0,0577778;-0,0211111
188;03.07.55;234,25;-57,5625;-59,8125;0,758179;-0,439636;0,414917;0,244385;-0,0211111;-0,0577778;-0,0477778
189;03.08.55;237,125;-56,4375;-66,25;0,749878;-0,460999;0,419861;0,221069;-0,00555556;0,0288889;-0,00333333
190;03.09.55;232,125;-57,1875;-63,6875;0,745117;-0,464722;0,404419;0,255554;0,00111111;-0,102222;-0,0411111
191;03.10.55;228,813;-57,1875;-63,875;0,736633;-0,477112;0,391296;0,276733;0,0522222;0,0266667;0,09
192;03.11.55;223,937;-57,8125;-58,375;0,735901;-0,467896;0,376587;0,312622;0,0388889;-0,00444444;0,03
193;03.12.55;223;-61;-56,375;0,730591;-0,451294;0,402649;0,317017;0,0677778;0,0177778;-0,0655555
194;03.13.55;214,5;-64,5;-55,8125;0,697449;-0,466553;0,401917;0,366516;0,07;0,0244444;0,0766667
195;03.14.55;216,5;-63,625;-56,5;0,704773;-0,465088;0,40155;0,354675;0,0455555;0,00888889;-0,0344444
196;03.15.55;215,375;-68,375;-59,125;0,685425;-0,458313;0,442139;0,353027;-0,0611111;0,00888889;0,0722222
